RENDERING NPI,PROVIDER LEGAL NAME,CALENDAR YEAR,DELIVERY SYSTEM,PROVIDER TYPE,AGE GROUP,ADV USER CNT,ADV USER ANNOTATION CODE,ADV SVC CNT,ADV  SVC ANNOTATION CODE,PREV USER CNT,PREV USER ANNOTATION CODE,PREV SVC CNT,PREV SVC ANNOTATION CODE,TXMT USER CNT,TXMT USER ANNOTATION CODE,TXMT SVC CNT,TXMT SVC ANNOTATION CODE,EXAM USER CNT,EXAM USER ANNOTATION CODE,EXAM SVC CNT,EXAM SVC ANNOTATION CODE
1003394313,PARK JONGGOO,2021,FFS,RENDERING,AGE 0-20,,1,,2,,1,,2,,1,,2,,1,,1
1003394313,PARK JONGGOO,2021,FFS,RENDERING,AGE 21+,,1,,2,,1,,1,,1,,1,,1,,1
1003394511,GOLANI RAHUL D,2021,FFS,RENDERING,AGE 0-20,185,,"1,072",,112,,275,,138,,380,,73,,73,
1003415183,BRUMELL ASHLEY A,2021,FFS,RENDERING,AGE 0-20,231,,"1,466",,170,,456,,96,,146,,176,,176,
1003415183,BRUMELL ASHLEY A,2021,FFS,RENDERING,AGE 21+,"1,079",,"3,525",,366,,614,,"1,017",,"1,435",,604,,604,
1003415183,BRUMELL ASHLEY A,2021,PHP,RENDERING,AGE 0-20,,1,,2,,1,,1,0,,0,,,1,,1
1003415183,BRUMELL ASHLEY A,2021,PHP,RENDERING,AGE 21+,,1,,1,,1,,1,,1,,1,,1,,1
1003415951,PHAM TAMMY L,2021,FFS,RENDERING,AGE 21+,,1,,1,,1,,1,,1,,1,,1,,1
1003415951,PHAM TAMMY L,2021,GMC,RENDERING,AGE 0-20,267,,"1,480",,186,,439,,93,,180,,231,,258,
1003415951,PHAM TAMMY L,2021,GMC,RENDERING,AGE 21+,468,,"2,926",,293,,581,,353,,"1,118",,400,,400,
1003415951,PHAM TAMMY L,2021,PHP,RENDERING,AGE 0-20,,1,,1,0,,0,,,1,,1,0,,0,
1003424946,NGUYEN TRANG H,2021,FFS,RENDERING,AGE 0-20,265,,997,,73,,156,,206,,497,,105,,106,
1003424946,NGUYEN TRANG H,2021,FFS,RENDERING,AGE 21+,305,,"1,334",,62,,115,,277,,752,,77,,79,
1003462169,FARAG NADA M,2021,FFS,RENDERING,AGE 0-20,511,,"3,151",,337,,763,,199,,547,,401,,423,
1003462169,FARAG NADA M,2021,FFS,RENDERING,AGE 21+,444,,"1,325",,66,,95,,226,,436,,222,,224,
1003462169,FARAG NADA M,2021,PHP,RENDERING,AGE 0-20,12,,38,,,1,,2,,1,,2,,1,,1
1003462169,FARAG NADA M,2021,PHP,RENDERING,AGE 21+,,1,,2,0,,0,,,1,,2,,1,,1
1003466137,ZHANG XUYU,2021,FFS,RENDERING,AGE 0-20,12,,50,,,1,,2,,1,,1,,1,,1
1003466137,ZHANG XUYU,2021,FFS,RENDERING,AGE 21+,127,,630,,32,,60,,102,,260,,41,,41,
1003478223,HANKINS DELANO B,2021,FFS,RENDERING,AGE 0-20,135,,551,,72,,194,,21,,40,,103,,103,
1003478223,HANKINS DELANO B,2021,FFS,RENDERING,AGE 21+,270,,695,,26,,44,,84,,153,,140,,140,
1003478223,HANKINS DELANO B,2021,PHP,RENDERING,AGE 0-20,41,,151,,34,,78,,,1,,1,34,,35,
1003478223,HANKINS DELANO B,2021,PHP,RENDERING,AGE 21+,44,,109,,15,,23,,11,,17,,32,,33,
1003803651,DO VINCENT,2021,FFS,RENDERING,AGE 0-20,80,,950,,74,,303,,51,,121,,61,,80,
1003803651,DO VINCENT,2021,FFS,RENDERING,AGE 21+,162,,"1,359",,91,,179,,123,,450,,111,,111,
1003806001,"LIU, BARRY RANDALL, DDS",2021,FFS,RENDERING,AGE 21+,,1,,1,,1,,1,,1,,1,0,,0,
1003807199,"BRAZEAL, GEORGE W, DDS",2021,FFS,RENDERING,AGE 0-20,,1,,2,,1,,1,0,,0,,,1,,1
1003807199,"BRAZEAL, GEORGE W, DDS",2021,FFS,RENDERING,AGE 21+,21,,101,,18,,18,,12,,32,,14,,14,
1003820895,LEW EDWARD W,2021,FFS,RENDERING,AGE 0-20,,1,,1,0,,0,,,1,,1,0,,0,
1003820895,LEW EDWARD W,2021,FFS,RENDERING,AGE 21+,,1,,1,0,,0,,,1,,1,0,,0,
1003820895,LEW EDWARD W,2021,PHP,RENDERING,AGE 0-20,49,,143,,22,,34,,20,,33,,25,,27,
1003820895,LEW EDWARD W,2021,PHP,RENDERING,AGE 21+,149,,420,,32,,33,,115,,264,,41,,42,
1003827494,"NGUYEN, DINH HIEP, DMD",2021,FFS,RENDERING,AGE 0-20,18,,91,,18,,18,,,1,,1,18,,18,
1003827494,"NGUYEN, DINH HIEP, DMD",2021,FFS,RENDERING,AGE 21+,29,,170,,24,,24,,,1,,2,,1,,1
1003827551,MEDINA DIANA M,2021,FFS,RENDERING,AGE 0-20,36,,104,,0,,0,,36,,104,,0,,0,
1003827551,MEDINA DIANA M,2021,FFS,RENDERING,AGE 21+,89,,295,,0,,0,,89,,295,,0,,0,
1003834003,KWON VIVIAN,2021,FFS,RENDERING,AGE 0-20,44,,267,,38,,63,,16,,65,,44,,44,
1003834003,KWON VIVIAN,2021,FFS,RENDERING,AGE 21+,117,,548,,50,,53,,57,,183,,107,,107,
1003841438,"SKUBEN, JANE E, DDS",2021,FFS,RENDERING,AGE 0-20,51,,396,,47,,122,,29,,91,,46,,57,
1003841438,"SKUBEN, JANE E, DDS",2021,FFS,RENDERING,AGE 21+,86,,612,,74,,146,,54,,227,,73,,73,
1003842899,"KAISER, KEVIN G MD",2021,FFS,RENDERING,AGE 0-20,21,,42,,0,,0,,21,,42,,0,,0,
1003847955,LE JR KHA D,2021,FFS,RENDERING,AGE 0-20,626,,"4,993",,571,,"1,729",,258,,865,,530,,695,
1003847955,LE JR KHA D,2021,FFS,RENDERING,AGE 21+,686,,"4,246",,436,,693,,426,,"1,699",,420,,421,
1003863556,"VU, KEVIN DMD",2021,FFS,RENDERING,AGE 0-20,39,,183,,33,,65,,12,,26,,38,,38,
1003863556,"VU, KEVIN DMD",2021,FFS,RENDERING,AGE 21+,173,,732,,83,,164,,73,,190,,149,,149,
1003868068,"JOSHI, PRAFULLA A, DDS",2021,FFS,RENDERING,AGE 0-20,,1,,2,,1,,1,,1,,1,,1,,1
1003868068,"JOSHI, PRAFULLA A, DDS",2021,FFS,RENDERING,AGE 21+,57,,582,,33,,66,,41,,234,,38,,76,
1003868068,"JOSHI, PRAFULLA DDS",2021,FFS,RENDERING,AGE 0-20,,1,,1,,1,,1,,1,,1,,1,,1
1003868068,"JOSHI, PRAFULLA DDS",2021,FFS,RENDERING,AGE 21+,57,,291,,33,,33,,41,,117,,38,,38,
1003900705,PHAM KEVIN T,2021,FFS,RENDERING,AGE 0-20,165,,"2,004",,150,,567,,108,,587,,150,,194,
1003900705,PHAM KEVIN T,2021,FFS,RENDERING,AGE 21+,343,,"3,259",,220,,417,,280,,"1,782",,241,,241,
1003905068,"NGUYEN, DUY DUC, DDS INC",2021,FFS,RENDERING,AGE 0-20,314,,816,,0,,0,,310,,796,,,1,,1
1003905068,"NGUYEN, DUY DUC, DDS INC",2021,FFS,RENDERING,AGE 21+,"1,041",,"3,044",,,1,,1,"1,032",,"2,969",,13,,13,
1003905068,"NGUYEN, DUY DUC, DDS INC",2021,PHP,RENDERING,AGE 0-20,11,,35,,0,,0,,11,,35,,0,,0,
1003905068,"NGUYEN, DUY DUC, DDS INC",2021,PHP,RENDERING,AGE 21+,46,,161,,0,,0,,46,,161,,0,,0,
1003910142,GABBAYPOUR GABRIEL,2021,FFS,RENDERING,AGE 0-20,148,,730,,0,,0,,111,,552,,89,,89,
1003910142,GABBAYPOUR GABRIEL,2021,FFS,RENDERING,AGE 21+,188,,688,,0,,0,,95,,393,,148,,148,
1003910142,GABBAYPOUR GABRIEL,2021,PHP,RENDERING,AGE 0-20,,1,,2,0,,0,,,1,,2,,1,,1
1003910142,GABBAYPOUR GABRIEL,2021,PHP,RENDERING,AGE 21+,39,,168,,,1,,1,20,,103,,29,,29,
1003915810,ANGELICI LISA M,2021,FFS,RENDERING,AGE 0-20,67,,118,,,1,,1,16,,51,,,1,,1
1003915810,ANGELICI LISA M,2021,FFS,RENDERING,AGE 21+,,1,,1,0,,0,,0,,0,,,1,,1
1003918756,"BENBRAHIM, AICHA, DDS",2021,FFS,RENDERING,AGE 0-20,89,,566,,73,,143,,52,,173,,74,,74,
1003918756,"BENBRAHIM, AICHA, DDS",2021,FFS,RENDERING,AGE 21+,345,,"2,267",,250,,251,,257,,"1,032",,272,,272,
1003932948,LUONG DONALD,2021,FFS,RENDERING,AGE 0-20,48,,351,,33,,78,,33,,98,,41,,44,
1003932948,LUONG DONALD,2021,FFS,RENDERING,AGE 21+,165,,"1,022",,47,,91,,120,,528,,81,,81,
1003933136,PURI SHALABH,2021,FFS,RENDERING,AGE 0-20,86,,714,,70,,297,,33,,66,,67,,86,
1003933136,PURI SHALABH,2021,FFS,RENDERING,AGE 21+,248,,"1,643",,152,,155,,170,,666,,189,,191,
1003934761,CADALSO JR ROBERT T,2021,FFS,RENDERING,AGE 0-20,,1,,1,,1,,1,0,,0,,0,,0,
1003942384,"VU, ANH",2021,FFS,RENDERING,AGE 0-20,19,,304,,19,,69,,,1,,2,18,,26,
1003942384,"VU, ANH",2021,FFS,RENDERING,AGE 21+,28,,221,,17,,17,,12,,48,,26,,26,
1003944638,NGO THANH C,2021,FFS,RENDERING,AGE 0-20,578,,"5,269",,544,,"2,436",,176,,386,,539,,606,
1003944638,NGO THANH C,2021,FFS,RENDERING,AGE 21+,"1,373",,"7,582",,907,,"1,810",,934,,"2,965",,940,,940,
1003946443,IZRAYLEVICH NINA,2021,FFS,RENDERING,AGE 0-20,,1,,1,0,,0,,,1,,1,0,,0,
1003946443,IZRAYLEVICH NINA,2021,FFS,RENDERING,AGE 21+,165,,271,,,1,,1,161,,249,,,1,,1
1003946443,"IZRAYLEVICH, NINA, DDS",2021,FFS,RENDERING,AGE 0-20,,1,,1,0,,0,,,1,,1,0,,0,
1003946443,"IZRAYLEVICH, NINA, DDS",2021,FFS,RENDERING,AGE 21+,165,,271,,,1,,1,161,,249,,,1,,1
1003952391,LEE RICHARD,2021,FFS,RENDERING,AGE 0-20,103,,726,,94,,386,,26,,66,,101,,137,
1003952391,LEE RICHARD,2021,FFS,RENDERING,AGE 21+,103,,614,,40,,40,,60,,177,,73,,73,
1003953126,KHOSHROZEH DENTAL CORPORATIO,2021,PHP,RENDERING,AGE 0-20,,1,,1,0,,0,,,1,,1,0,,0,
1003953282,"BINAFARD, BEHZAD DANIEL DDS",2021,FFS,RENDERING,AGE 0-20,325,,"3,089",,295,,"1,095",,111,,398,,298,,395,
1003953282,"BINAFARD, BEHZAD DANIEL DDS",2021,FFS,RENDERING,AGE 21+,579,,"3,665",,371,,387,,332,,"1,314",,454,,454,
1003953282,"BINAFARD, BEHZAD DANIEL DDS",2021,PHP,RENDERING,AGE 0-20,,1,,1,0,,0,,0,,0,,0,,0,
1003953282,"BINAFARD, BEHZAD DANIEL DDS",2021,PHP,RENDERING,AGE 21+,18,,80,,,1,,1,,1,,2,14,,14,
1003953332,"NISHIZAKA, SCOTT MICHIO, DDS",2021,FFS,RENDERING,AGE 0-20,,1,,2,,1,,1,,1,,1,,1,,1
1003953332,"NISHIZAKA, SCOTT MICHIO, DDS",2021,FFS,RENDERING,AGE 21+,,1,,2,,1,,1,,1,,1,,1,,1
1003953860,"PANOFF, DANIEL O",2021,FFS,RENDERING,AGE 0-20,565,,"5,846",,536,,"1,929",,392,,"1,503",,523,,545,
1003953860,"PANOFF, DANIEL O",2021,FFS,RENDERING,AGE 21+,293,,"2,125",,196,,362,,211,,853,,254,,254,
1003953936,GOPALAN SHANTI,2021,FFS,RENDERING,AGE 0-20,406,,"2,658",,354,,"1,031",,161,,501,,326,,405,
1003953936,GOPALAN SHANTI,2021,FFS,RENDERING,AGE 21+,,1,,1,,1,,1,0,,0,,,1,,1
1003958489,DUONG VU Q,2021,FFS,RENDERING,AGE 0-20,172,,"2,159",,164,,442,,51,,117,,169,,228,
1003958489,DUONG VU Q,2021,FFS,RENDERING,AGE 21+,483,,"5,046",,280,,557,,309,,939,,377,,377,
1003958745,BUENAVENTURA MIRIAM B,2021,FFS,RENDERING,AGE 21+,,1,,2,,1,,1,,1,,1,,1,,1
1003959727,HASHEMIAN SHERVIN T,2021,FFS,RENDERING,AGE 0-20,130,,947,,82,,166,,23,,62,,112,,118,
1003959727,HASHEMIAN SHERVIN T,2021,FFS,RENDERING,AGE 21+,140,,626,,14,,17,,43,,122,,86,,86,
1003960543,WOOD ALFRED J,2021,FFS,RENDERING,AGE 0-20,807,,"6,719",,752,,"3,086",,336,,"1,140",,787,,"1,182",
1003960543,WOOD ALFRED J,2021,FFS,RENDERING,AGE 21+,,1,,1,0,,0,,,1,,1,,1,,1
1003964107,"PATEL, ALPHESH K DDS",2021,FFS,RENDERING,AGE 0-20,257,,"4,815",,221,,966,,133,,548,,238,,315,
1003964107,"PATEL, ALPHESH K DDS",2021,FFS,RENDERING,AGE 21+,454,,"4,964",,110,,188,,321,,"1,849",,354,,354,
1003965112,SUMENKO IRINA,2021,FFS,RENDERING,AGE 0-20,13,,74,,13,,34,,,1,,2,,1,,1
1003965112,SUMENKO IRINA,2021,FFS,RENDERING,AGE 21+,86,,539,,53,,108,,56,,239,,53,,54,
1003965112,SUMENKO IRINA,2021,PHP,RENDERING,AGE 0-20,16,,73,,16,,45,,,1,,1,16,,18,
1003965112,SUMENKO IRINA,2021,PHP,RENDERING,AGE 21+,37,,249,,31,,75,,18,,92,,35,,35,
1003967548,TRAN CINDY M,2021,FFS,RENDERING,AGE 0-20,"2,730",,"33,022",,"2,576",,"8,862",,644,,"1,896",,"2,591",,"3,428",
1003967548,TRAN CINDY M,2021,FFS,RENDERING,AGE 21+,569,,"2,931",,318,,328,,186,,449,,485,,487,
1003973934,"KO, STEVEN SUKKYU, DDS",2021,FFS,RENDERING,AGE 21+,,1,,1,0,,0,,,1,,1,0,,0,
